1	Kevin DurantOKC	PF	81	38.5	32	10.5	20.8	50.3	2.4	6.1	39.1	8.7	9.9	87.3	7.4	5.5	1.3	0.7	3.5	27	3
2	Carmelo AnthonyNY	PF	77	38.7	27.4	9.6	21.3	45.2	2.2	5.4	40.2	6	7	84.8	8.1	3.1	1.2	0.7	2.6	22	0
3	LeBron JamesMIA	SF	77	37.7	27.1	10	17.6	56.7	1.5	4	37.9	5.7	7.6	75	6.9	6.4	1.6	0.3	3.5	12	1
4	Kevin LoveMIN	PF	77	36.3	26.1	8.4	18.5	45.7	2.5	6.6	37.6	6.8	8.2	82.1	12.5	4.4	0.8	0.5	2.5	65	3
5	James HardenHOU	SG	73	38	25.4	7.5	16.5	45.6	2.4	6.6	36.6	7.9	9.1	86.6	4.7	6.1	1.6	0.4	3.6	14	1
6	Blake GriffinLAC	PF	80	35.8	24.1	9	17	52.8	0.2	0.6	27.3	6	8.4	71.5	9.5	3.9	1.2	0.6	2.8	43	1
7	Stephen CurryGS	PG	78	36.5	24	8.4	17.7	47.1	3.3	7.9	42.4	3.9	4.5	88.5	4.3	8.5	1.6	0.2	3.8	28	4
8	LaMarcus AldridgePOR	C	69	36.2	23.2	9.4	20.6	45.8	0	0.2	20	4.3	5.2	82.2	11.1	2.6	0.9	1	1.8	40	0
9	DeMarcus CousinsSAC	C	71	32.4	22.7	8.3	16.8	49.6	0	0.1	0	6.1	8.4	72.6	11.7	2.9	1.5	1.3	3.5	53	0
10	DeMar DeRozanTOR	SF	79	38.2	22.7	7.6	17.8	42.9	0.8	2.7	30.5	6.6	8	82.4	4.3	4	1.1	0.4	2.2	2	0
11	Al JeffersonCHA	C	73	35	21.8	9.6	18.8	50.9	0	0.2	20	2.6	3.8	69	10.8	2.1	0.9	1.1	1.7	42	0
12	Russell WestbrookOKC	PG	46	30.7	21.8	7.5	17.2	43.7	1.5	4.7	31.8	5.3	6.4	82.6	5.7	6.9	1.9	0.2	3.8	11	2
13	Paul GeorgeIND	F	80	36.2	21.7	7.2	17	42.4	2.3	6.3	36.4	5	5.8	86.4	6.8	3.5	1.9	0.3	2.8	12	1
14	Dirk NowitzkiDAL	F	80	32.9	21.7	7.9	15.9	49.7	1.6	4.1	39.8	4.2	4.7	89.9	6.2	2.7	0.9	0.6	1.5	6	0
15	Kyrie IrvingCLE	PG	71	35.2	20.8	7.5	17.4	43	1.7	4.8	35.8	4.1	4.8	86.1	3.6	6.1	1.5	0.3	2.7	7	1
16	Anthony DavisNO	PF	67	35.2	20.8	7.8	15	51.9	0	0.1	22.2	5.2	6.6	79.1	10	1.6	1.3	2.8	1.6	36	0
17	Brook LopezBKN	C	17	31.4	20.7	7.6	13.5	56.3	0	0.1	0	5.5	6.8	81.7	6	0.9	0.5	1.8	1.6	0	0
18	Damian LillardPOR	PG	82	35.8	20.7	6.7	15.9	42.4	2.7	6.8	39.4	4.5	5.2	87.1	3.5	5.6	0.8	0.3	2.4	6	0
19	Isaiah ThomasSAC	G	72	34.7	20.3	6.9	15.2	45.3	1.8	5.1	34.9	4.8	5.7	85	2.9	6.3	1.3	0.1	3	7	1
20	Goran DragicPHX	PG	76	35.1	20.3	7.3	14.4	50.5	1.6	3.9	40.8	4.2	5.5	76	3.2	5.9	1.4	0.3	2.8	7	0
21	Rudy GaySAC/TOR	SF	73	34.7	20	7.4	16.2	45.5	0.9	2.7	33	4.4	5.3	82.2	6	2.9	1.3	0.8	3.1	11	0
22	Ryan AndersonNO	PF	22	36.1	19.8	7	16.1	43.8	3	7.5	40.9	2.7	2.8	95.2	6.5	0.8	0.5	0.3	0.9	4	0
23	John WallWSH	PG	82	36.3	19.3	7.1	16.3	43.3	1.3	3.8	35.1	3.9	4.8	80.5	4.1	8.8	1.8	0.5	3.6	29	2
24	Chris PaulLAC	PG	62	35	19.1	6.5	14	46.7	1.3	3.4	36.8	4.8	5.6	85.5	4.3	10.7	2.5	0.1	2.3	39	0
25	Kevin MartinMIN	SG	68	32	19.1	6.5	15	43	1.7	4.4	38.7	4.5	5	89.1	3	1.8	1	0.1	1.6	1	0
26	Dwyane WadeMIA	G	54	32.9	19	7.7	14.1	54.5	0.2	0.6	28.1	3.5	4.8	73.3	4.5	4.7	1.5	0.5	3	4	0
27	Monta EllisDAL	SG	82	36.9	19	7	15.6	45.1	0.8	2.5	33	4.1	5.2	78.8	3.6	5.7	1.7	0.3	3.2	6	0
28	Jamal CrawfordLAC	G	69	30.3	18.6	6.1	14.7	41.6	2.3	6.5	36.1	4	4.7	86.6	2.3	3.2	0.9	0.2	2	2	0
29	Al HorfordATL	C	29	33	18.6	8.2	14.5	56.7	0.1	0.4	36.4	2	2.9	68.2	8.4	2.6	0.9	1.5	2.2	9	0
30	Klay ThompsonGS	SG	81	35.4	18.4	6.9	15.5	44.4	2.8	6.6	41.7	1.8	2.3	79.5	3.1	2.2	0.9	0.5	1.7	1	0
31	Dwight HowardHOU	C	71	33.7	18.3	6.7	11.3	59.1	0	0.1	28.6	4.9	9	54.7	12.2	1.8	0.8	1.8	3.2	47	0
32	Arron AfflaloORL	G	73	35	18.2	6.4	13.8	45.9	1.8	4.1	42.7	3.8	4.6	81.5	3.6	3.4	0.5	0	2	1	0
33	David LeeGS	PF	69	33.2	18.2	7.4	14.2	52.3	0	0	0	3.3	4.3	78	9.3	2.1	0.7	0.4	2.2	34	0
34	Paul MillsapATL	PF	74	33.5	17.9	6.5	14.1	46.1	1	2.9	35.8	3.9	5.3	73.1	8.5	3.1	1.7	1.1	2.5	30	1
35	Kyle LowryTOR	PG	79	36.2	17.9	5.8	13.7	42.3	2.4	6.3	38	4	4.9	81.3	4.7	7.4	1.5	0.2	2.5	18	2
35	Thaddeus YoungPHI	PF	79	34.4	17.9	7.4	16.2	45.4	1.1	3.7	30.8	2.1	2.9	71.2	6	2.3	2.1	0.5	2.1	11	0
37	Brandon KnightMIL	PG	72	33.3	17.9	6.4	15.2	42.2	1.5	4.7	32.5	3.6	4.5	80.2	3.5	4.9	1	0.2	2.6	4	0
38	Nick YoungLAL	G	64	28.3	17.9	6	13.9	43.5	2.1	5.5	38.6	3.7	4.5	82.5	2.6	1.5	0.7	0.2	1.5	0	0
39	Eric BledsoePHX	SG	43	32.9	17.7	6.2	12.9	47.7	1.2	3.3	35.7	4.3	5.5	77.2	4.7	5.5	1.6	0.3	3.3	4	0
40	Kemba WalkerCHA	PG	73	35.8	17.7	6.2	15.7	39.3	1.5	4.5	33.3	3.9	4.6	83.7	4.2	6.1	1.2	0.4	2.3	9	1
41	Ty LawsonDEN	G	62	35.8	17.6	5.6	13	43.1	1.2	3.3	35.6	5.2	6.5	79.8	3.5	8.8	1.6	0.2	3.2	23	0
42	Nikola PekovicMIN	C	54	30.8	17.4	7	13	54	0	0	0	3.4	4.6	74.7	8.7	0.9	0.6	0.4	1.6	23	0
