1	James HardenHOU	SG	78	36.8	36.1	10.8	24.5	44.2	4.8	13.2	36.8	9.7	11	87.9	6.6	7.5	2	0.7	5	34	7
2	Paul GeorgeOKC	F	77	36.9	28	9.2	21	43.8	3.8	9.8	38.6	5.9	7	83.9	8.2	4.1	2.2	0.4	2.7	24	1
3	Giannis AntetokounmpoMIL	PF	72	32.8	27.7	10	17.3	57.8	0.7	2.8	25.6	6.9	9.5	72.9	12.5	5.9	1.3	1.5	3.7	54	5
4	Joel EmbiidPHI	C	64	33.7	27.5	9.1	18.7	48.4	1.2	4.1	30	8.2	10.1	80.4	13.6	3.7	0.7	1.9	3.5	58	2
5	LeBron JamesLAL	SF	55	35.2	27.4	10.1	19.9	51	2	5.9	33.9	5.1	7.6	66.5	8.5	8.3	1.3	0.6	3.6	32	8
6	Stephen CurryGS	PG	69	33.8	27.3	9.2	19.4	47.2	5.1	11.7	43.7	3.8	4.2	91.6	5.3	5.2	1.3	0.4	2.8	3	0
7	Kawhi LeonardTOR	SF	60	34	26.6	9.3	18.8	49.6	1.9	5	37.1	6.1	7.1	85.4	7.3	3.3	1.8	0.4	2	14	0
8	Devin BookerPHX	SG	64	35	26.6	9.2	19.6	46.7	2.1	6.5	32.6	6.1	7.1	86.6	4.1	6.8	0.9	0.2	4.1	12	0
9	Kevin DurantGS	PF	78	34.6	26	9.2	17.7	52.1	1.8	5	35.3	5.7	6.5	88.5	6.4	5.9	0.7	1.1	2.9	16	2
10	Anthony DavisNO	PF	56	33	25.9	9.5	18.3	51.7	0.9	2.6	33.1	6.1	7.7	79.4	12	3.9	1.6	2.4	2	37	0
11	Damian LillardPOR	PG	80	35.5	25.8	8.5	19.2	44.4	3	8	36.9	5.9	6.4	91.2	4.6	6.9	1.1	0.4	2.7	13	0
12	Kemba WalkerCHA	PG	82	34.9	25.6	8.9	20.5	43.4	3.2	8.9	35.6	4.6	5.5	84.4	4.4	5.9	1.2	0.4	2.6	10	0
13	Bradley BealWSH	SG	82	36.9	25.6	9.3	19.6	47.5	2.5	7.3	35.1	4.4	5.5	80.8	5	5.5	1.5	0.7	2.7	11	2
14	Blake GriffinDET	PF	75	35	24.5	8.3	17.9	46.2	2.5	7	36.2	5.5	7.3	75.3	7.5	5.4	0.7	0.4	3.4	21	2
15	Karl-Anthony TownsMIN	C	77	33.1	24.4	8.8	17.1	51.8	1.8	4.6	40	4.9	5.8	83.6	12.4	3.4	0.9	1.6	3.1	54	0
16	Kyrie IrvingBOS	PG	67	33	23.8	9	18.5	48.7	2.6	6.5	40.1	3.2	3.7	87.3	5	6.9	1.5	0.5	2.6	21	1
17	Donovan MitchellUTAH	SG	77	33.7	23.8	8.6	19.9	43.2	2.4	6.7	36.2	4.1	5.1	80.6	4.1	4.2	1.4	0.4	2.8	1	0
18	Zach LaVineCHI	SG	63	34.5	23.7	8.4	18	46.7	1.9	5.1	37.4	5	6	83.2	4.7	4.5	1	0.4	3.4	2	0
19	Russell WestbrookOKC	PG	73	36	22.9	8.6	20.2	42.8	1.6	5.6	29	4.1	6.2	65.6	11.1	10.7	1.9	0.5	4.5	57	34
20	Klay ThompsonGS	SG	78	34	21.5	8.4	18	46.7	3.1	7.7	40.2	1.7	2	81.6	3.8	2.4	1.1	0.6	1.5	0	0
21	Julius RandleNO	PF	73	30.6	21.4	7.8	14.9	52.4	0.9	2.7	34.4	4.9	6.7	73.1	8.7	3.1	0.7	0.6	2.8	31	1
22	LaMarcus AldridgeSA	C	81	33.2	21.3	8.4	16.3	51.9	0.1	0.5	23.8	4.3	5.1	84.7	9.2	2.4	0.5	1.3	1.8	32	0
23	DeMar DeRozanSA	SF	77	34.9	21.2	8.2	17.1	48.1	0.1	0.6	15.6	4.8	5.7	83	6	6.2	1.1	0.5	2.6	12	1
24	Luka DoncicDAL	PG	72	32.2	21.2	7	16.5	42.7	2.3	7.1	32.7	4.8	6.7	71.3	7.8	6	1.1	0.3	3.4	24	8
25	Jrue HolidayNO	PG	67	35.9	21.2	8.2	17.3	47.2	1.8	5.4	32.5	3.1	4	76.8	5	7.7	1.6	0.8	3.1	18	0
26	D'Angelo RussellBKN	PG	81	30.2	21.1	8.1	18.7	43.4	2.9	7.8	36.9	2	2.5	78	3.9	7	1.2	0.2	3.1	14	0
27	Mike ConleyMEM	PG	70	33.5	21.1	7	16	43.8	2.2	6.1	36.4	4.9	5.8	84.5	3.4	6.4	1.3	0.3	1.9	10	0
28	CJ McCollumPOR	SG	70	33.9	21	8.2	17.8	45.9	2.4	6.4	37.5	2.3	2.7	82.8	4	3	0.8	0.4	1.5	1	1
29	Nikola VucevicORL	C	80	31.4	20.8	8.8	16.9	51.8	1.1	2.9	36.4	2.2	2.8	78.9	12	3.8	1	1.1	2	60	1
30	John WallWSH	PG	32	34.5	20.7	7.7	17.3	44.4	1.6	5.3	30.2	3.8	5.5	69.7	3.6	8.7	1.5	0.9	3.8	10	0
31	Buddy HieldSAC	SG	82	31.9	20.7	7.6	16.6	45.8	3.4	7.9	42.7	2.1	2.4	88.6	5	2.5	0.7	0.4	1.8	3	0
32	Nikola JokicDEN	C	80	31.3	20.1	7.7	15.1	51.1	1	3.4	30.7	3.6	4.4	82.1	10.8	7.3	1.4	0.7	3.1	56	12
33	Tobias HarrisLAC/PHI	PF	82	34.7	20	7.5	15.3	48.7	1.9	4.8	39.7	3.2	3.7	86.6	7.9	2.8	0.6	0.5	1.8	15	0
34	JaKarr SampsonCHI	SF	4	31.8	20	7.3	13.5	53.7	1.3	3.5	35.7	4.3	5.3	81	8	1	1	0.8	1	0	0
35	Lou WilliamsLAC	SG	75	26.6	20	6.5	15.2	42.5	1.4	3.9	36.1	5.7	6.5	87.6	3	5.4	0.8	0.1	2.4	7	1
36	Danilo GallinariLAC	PF	68	30.3	19.8	6	13	46.3	2.4	5.5	43.3	5.4	6	90.4	6.1	2.6	0.7	0.3	1.5	7	0
37	John CollinsATL	PF	61	30	19.5	7.6	13.6	56	0.9	2.6	34.8	3.3	4.4	76.3	9.8	2	0.4	0.6	2	32	0
38	Trae YoungATL	PG	81	30.9	19.1	6.5	15.5	41.8	1.9	6	32.4	4.2	5.1	82.8	3.7	8.1	0.9	0.2	3.8	30	1
39	Victor OladipoIND	SG	36	31.9	18.8	6.9	16.3	42.3	2.1	6	34.3	2.9	3.9	73.1	5.6	5.2	1.7	0.3	2.3	5	0
40	Lauri MarkkanenCHI	PF	52	32.3	18.7	6.6	15.3	43	2.3	6.4	36.1	3.3	3.8	87.2	9	1.4	0.7	0.6	1.6	20	0
41	Jimmy ButlerMIN/PHI	SF	65	33.6	18.7	6.4	13.9	46.2	1	3	34.7	4.8	5.6	85.5	5.3	4	1.9	0.6	1.5	3	0
42	Kyle KuzmaLAL	SF	70	33.1	18.7	7.1	15.5	45.6	1.8	6	30.3	2.7	3.6	75.2	5.5	2.5	0.6	0.4	1.9	4	0
43	Khris MiddletonMIL	SF	77	31.1	18.3	6.6	14.9	44.1	2.3	6.2	37.8	2.8	3.4	83.7	6	4.3	1	0.1	2.3	7	0
44	Brandon IngramLAL	SF	52	33.8	18.3	7	14	49.7	0.6	1.8	33	3.8	5.6	67.5	5.1	3	0.5	0.6	2.5	2	0
