1	Stephen CurryGS	PG	63	34.2	32	10.4	21.7	48.2	5.3	12.7	42.1	5.7	6.3	91.6	5.5	5.8	1.2	0.1	3.4	8	0
2	Bradley BealWSH	SG	60	35.8	31.3	11.2	23	48.5	2.2	6.2	34.9	6.8	7.7	88.9	4.7	4.4	1.2	0.4	3.1	4	0
3	Damian LillardPOR	PG	67	35.8	28.8	9	19.9	45.1	4.1	10.5	39.1	6.7	7.2	92.8	4.2	7.5	0.9	0.3	3	16	0
4	Joel EmbiidPHI	C	51	31.1	28.5	9	17.6	51.3	1.1	3	37.7	9.2	10.7	85.9	10.6	2.8	1	1.4	3.1	31	0
5	Giannis AntetokounmpoMIL	PF	61	33	28.1	10.3	18	56.9	1.1	3.6	30.3	6.5	9.5	68.5	11	5.9	1.2	1.2	3.4	41	7
6	Luka DoncicDAL	PG	66	34.3	27.7	9.8	20.5	47.9	2.9	8.3	35	5.2	7.1	73	8	8.6	1	0.5	4.3	26	11
7	Zach LaVineCHI	SG	58	35.1	27.4	9.8	19.4	50.7	3.4	8.2	41.9	4.4	5.1	84.9	5	4.9	0.8	0.5	3.5	3	0
8	Zion WilliamsonNO	PF	61	33.2	27	10.4	17	61.1	0.2	0.6	29.4	6	8.7	69.8	7.2	3.7	0.9	0.6	2.7	14	0
9	Kevin DurantBKN	PF	35	33.1	26.9	9.3	17.2	53.7	2.4	5.4	45	6	6.8	88.2	7.1	5.6	0.7	1.3	3.4	12	0
10	Kyrie IrvingBKN	PG	54	34.9	26.9	10.2	20.1	50.6	2.8	7	40.2	3.7	4	92.2	4.8	6	1.4	0.7	2.4	8	0
11	Jayson TatumBOS	SF	64	35.8	26.4	9.5	20.6	45.9	2.9	7.6	38.6	4.6	5.3	86.8	7.4	4.3	1.2	0.5	2.7	15	1
12	Donovan MitchellUTAH	SG	53	33.4	26.4	9	20.6	43.8	3.4	8.7	38.6	5	6	84.5	4.4	5.2	1	0.3	2.8	2	0
13	Nikola JokicDEN	C	72	34.6	26.4	10.2	18	56.6	1.3	3.3	38.8	4.8	5.5	86.8	10.8	8.3	1.3	0.7	3.1	60	16
14	Devin BookerPHX	SG	67	33.9	25.6	9.3	19.2	48.4	1.9	5.5	34	5.1	5.9	86.7	4.2	4.3	0.8	0.2	3.1	1	0
15	Trae YoungATL	PG	63	33.7	25.3	7.7	17.7	43.8	2.2	6.3	34.3	7.7	8.7	88.6	3.9	9.4	0.8	0.2	4.1	28	0
16	De'Aaron FoxSAC	PG	58	35.1	25.2	9.1	19.1	47.7	1.8	5.5	32.2	5.2	7.2	71.9	3.5	7.2	1.5	0.5	3	11	0
17	LeBron JamesLAL	SF	45	33.4	25	9.4	18.3	51.3	2.3	6.3	36.5	4	5.7	69.8	7.7	7.8	1.1	0.6	3.7	18	5
18	Kawhi LeonardLAC	SF	52	34.1	24.8	8.9	17.5	51.2	1.9	4.9	39.8	5	5.7	88.5	6.5	5.2	1.6	0.4	2	9	0
19	Karl-Anthony TownsMIN	C	50	33.8	24.8	8.5	17.5	48.6	2.4	6.3	38.7	5.3	6.2	85.9	10.6	4.5	0.8	1.1	3.2	33	0
20	Jaylen BrownBOS	SG	58	34.5	24.7	9.3	19.2	48.4	2.8	7.1	39.7	3.3	4.3	76.4	6	3.4	1.2	0.6	2.7	10	0
21	James HardenBKN/HOU	SG	44	36.6	24.6	7.8	16.7	46.6	2.8	7.6	36.2	6.3	7.3	86.1	7.9	10.8	1.2	0.8	4	32	12
22	Collin SextonCLE	PG	60	35.3	24.3	8.8	18.4	47.5	1.6	4.4	37.1	5.2	6.4	81.5	3.1	4.4	1	0.2	2.8	1	0
23	Julius RandleNY	PF	71	37.6	24.1	8.5	18.6	45.6	2.3	5.5	41.1	4.9	6	81.1	10.2	6	0.9	0.3	3.4	41	6
24	Brandon IngramNO	SF	61	34.3	23.8	8.4	18	46.6	2.3	6.1	38.1	4.6	5.2	87.8	4.9	4.9	0.7	0.6	2.5	4	0
25	Shai Gilgeous-AlexanderOKC	PG	35	33.7	23.7	8.2	16.1	50.8	2	4.9	41.8	5.3	6.5	80.8	4.7	5.9	0.8	0.7	3	3	0
26	Nikola VucevicCHI/ORL	C	70	33.5	23.4	9.5	19.9	47.7	2.5	6.3	40	1.9	2.2	84	11.7	3.8	0.9	0.7	1.8	48	2
27	Paul GeorgeLAC	F	54	33.7	23.3	8.2	17.6	46.7	3.2	7.7	41.1	3.7	4.2	86.8	6.6	5.2	1.1	0.4	3.3	9	0
28	CJ McCollumPOR	SG	47	34	23.1	8.6	18.8	45.8	3.6	8.9	40.2	2.3	2.8	81.2	3.9	4.7	0.9	0.4	1.4	2	0
29	Jerami GrantDET	SF	54	33.9	22.3	7.4	17.3	42.9	2.1	6.1	35	5.4	6.4	84.5	4.6	2.8	0.6	1.1	2	3	0
30	Russell WestbrookWSH	PG	65	36.4	22.2	8.4	19	43.9	1.3	4.2	31.5	4.2	6.4	65.6	11.5	11.7	1.4	0.4	4.8	59	38
31	Anthony DavisLAL	PF	36	32.3	21.8	8.4	17	49.1	0.7	2.8	26	4.4	5.9	73.8	7.9	3.1	1.3	1.6	2.1	12	0
32	DeMar DeRozanSA	SF	61	33.7	21.6	7.5	15.1	49.5	0.3	1.2	25.7	6.3	7.2	88	4.2	6.9	0.9	0.2	2	13	0
33	Jimmy ButlerMIA	SF	52	33.6	21.5	7	14.2	49.7	0.5	2	24.5	6.9	8	86.3	6.9	7.1	2.1	0.3	2.1	17	4
34	Pascal SiakamTOR	PF	56	35.8	21.4	7.8	17.2	45.5	1.3	4.4	29.7	4.4	5.4	82.7	7.2	4.5	1.1	0.7	2.3	13	1
35	Jamal MurrayDEN	PG	48	35.5	21.2	7.9	16.5	47.7	2.7	6.6	40.8	2.8	3.2	86.9	4	4.8	1.3	0.3	2.3	1	0
36	Malcolm BrogdonIND	PG	56	34.5	21.2	7.9	17.5	45.3	2.6	6.7	38.8	2.7	3.2	86.4	5.3	5.9	0.9	0.3	2.1	6	0
37	Christian WoodHOU	F	41	32.3	21	8	15.6	51.4	1.9	5	37.4	3	4.8	63.1	9.6	1.7	0.8	1.2	2	19	0
38	John WallHOU	PG	40	32.2	20.6	7.3	18.2	40.4	2	6.2	31.7	4	5.3	74.9	3.2	6.9	1.1	0.8	3.5	7	1
39	Terry RozierCHA	SG	69	34.5	20.4	7.4	16.4	45	3.2	8.3	38.9	2.4	2.9	81.7	4.4	4.2	1.3	0.4	1.9	5	0
40	Khris MiddletonMIL	SF	68	33.4	20.4	7.5	15.8	47.6	2.2	5.4	41.4	3.1	3.5	89.8	6	5.4	1.1	0.1	2.6	10	0
41	Domantas SabonisIND	PF	62	36	20.3	7.8	14.6	53.5	0.8	2.6	32.1	3.9	5.3	73.2	12	6.7	1.2	0.5	3.4	48	9
42	Caris LeVertIND/BKN/HOU	SG	47	31.6	20.2	7.6	17.3	44.1	1.8	5.5	32.6	3.1	3.8	81.1	4.6	5.2	1.4	0.6	2.2	6	0
43	Kristaps PorzingisDAL	C	43	30.9	20.1	7.6	15.9	47.6	2.3	6	37.6	2.7	3.2	85.5	8.9	1.6	0.5	1.3	1.2	16	0
44	Victor OladipoIND/MIA/HOU	SG	33	32.7	19.8	7.1	17.5	40.8	2.4	7.2	32.6	3.2	4.2	75.4	4.8	4.6	1.4	0.4	2.5	0	0
45	Gordon HaywardCHA	SF	44	34	19.6	7.1	15	47.3	1.9	4.7	41.5	3.5	4.2	84.3	5.9	4.1	1.2	0.3	2.1	2	0
46	Fred VanVleetTOR	SG	52	36.5	19.6	6.5	16.7	38.9	3.3	9.2	36.6	3.3	3.7	88.5	4.2	6.3	1.7	0.7	1.8	5	0
47	Malik BeasleyMIN	SG	37	32.8	19.6	7.1	16.2	44	3.5	8.7	39.9	1.8	2.2	85	4.4	2.4	0.8	0.2	1.6	0	0
48	Tobias HarrisPHI	PF	62	32.5	19.5	7.6	14.9	51.2	1.3	3.4	39.4	2.9	3.3	89.2	6.8	3.5	0.9	0.8	1.7	11	0
49	Anthony EdwardsMIN	SG	72	32.1	19.3	7	16.8	41.7	2.4	7.2	32.9	2.9	3.8	77.6	4.7	2.9	1.1	0.5	2.2	3	0
50	Kemba WalkerBOS	PG	43	31.8	19.3	6.6	15.7	42	3	8.2	36	3.1	3.5	89.9	4	4.9	1.1	0.3	2	0	0
51	Ja MorantMEM	PG	63	32.6	19.1	6.8	15.2	44.9	1.2	3.8	30.3	4.3	5.9	72.8	4	7.4	0.9	0.2	3.2	14	1
52	Michael Porter Jr.DEN	SF	61	31.3	19	7.3	13.4	54.2	2.8	6.3	44.5	1.7	2.2	79.1	7.3	1.1	0.7	0.9	1.3	15	0
53	D'Angelo RussellMIN	PG	42	28.5	19	6.7	15.5	43.1	2.9	7.4	38.7	2.7	3.5	76.5	2.6	5.8	1.1	0.4	2.7	6	0
54	Bam AdebayoMIA	C	64	33.5	18.7	7.1	12.5	57	0	0.1	25	4.4	5.5	79.9	9	5.4	1.2	1	2.6	33	2
55	Norman PowellPOR/TOR	G	69	32	18.6	6.3	13.3	47.7	2.5	6	41.1	3.4	3.9	87.1	3.1	1.9	1.2	0.3	1.7	0	0
56	Andrew WigginsGS	SF	71	33.3	18.6	7.1	14.9	47.7	2	5.2	38	2.4	3.4	71.4	4.9	2.4	0.9	1	1.8	3	0
57	Jordan ClarksonUTAH	PG	68	26.7	18.4	6.7	15.8	42.5	3.1	8.8	34.7	1.9	2.1	89.6	4	2.5	0.9	0.1	1.7	0	0
58	Eric GordonHOU	SG	27	29.2	17.8	5.9	13.6	43.3	2.6	7.8	32.9	3.5	4.2	82.5	2.1	2.6	0.5	0.5	1.9	0	0
59	Jrue HolidayMIL	PG	59	32.3	17.7	7	13.9	50.3	1.9	4.8	39.2	1.8	2.3	78.7	4.5	6.1	1.6	0.6	2.2	10	0
60	John CollinsATL	PF	63	29.3	17.6	6.8	12.2	55.6	1.3	3.3	39.9	2.7	3.2	83.3	7.4	1.2	0.5	1	1.3	16	0
61	RJ BarrettNY	SG	72	34.9	17.6	6.5	14.7	44.1	1.7	4.3	40.1	2.9	3.8	74.6	5.8	3	0.7	0.3	1.9	5	0
